Nr 1	76.000000	46208.000000
Nr 2	-111.000000	98568.000000
Nr 3	55.000000	24200.000000
Nr 4	-40.000000	12800.000000
Nr 5	-168.000000	225792.000000
Nr 6	94.000000	70688.000000
Nr 7	-146.000000	170528.000000
Nr 8	68.000000	36992.000000
Nr 9	27.000000	5832.000000
Nr 10	173.000000	239432.000000
Nr 11	-171.000000	233928.000000
Nr 12	52.000000	21632.000000
Nr 13	82.000000	53792.000000
Nr 14	107.000000	91592.000000
Nr 15	-59.000000	27848.000000
Nr 16	58.000000	26912.000000
Nr 17	-112.000000	100352.000000
Nr 18	-180.000000	259200.000000
Nr 19	-64.000000	32768.000000
Nr 20	189.000000	285768.000000
Nr 21	54.000000	23328.000000
Nr 22	-17.000000	2312.000000
Nr 23	-118.000000	111392.000000
Nr 24	-121.000000	117128.000000
Nr 25	4.000000	128.000000
Nr 26	19.000000	2888.000000
Nr 27	54.000000	23328.000000
Nr 28	172.000000	236672.000000
Nr 29	190.000000	288800.000000
Nr 30	90.000000	64800.000000
Nr 31	94.000000	70688.000000
Nr 32	44.000000	15488.000000
Nr 33	66.000000	34848.000000
Nr 34	-3.000000	72.000000
Nr 35	-105.000000	88200.000000
Nr 36	91.000000	66248.000000
Nr 37	-71.000000	40328.000000
Nr 38	64.000000	32768.000000
Nr 39	4.000000	128.000000
Nr 40	175.000000	245000.000000
Nr 41	-84.000000	56448.000000
Nr 42	40.000000	12800.000000
Nr 43	-102.000000	83232.000000
Nr 44	153.000000	187272.000000
Nr 45	42.000000	14112.000000
Nr 46	-118.000000	111392.000000
Nr 47	84.000000	56448.000000
Nr 48	-8.000000	512.000000
Nr 49	199.000000	316808.000000
Nr 50	37.000000	10952.000000
Nr 51	-185.000000	273800.000000
Nr 52	154.000000	189728.000000
Nr 53	-185.000000	273800.000000
Nr 54	163.000000	212552.000000
Nr 55	-167.000000	223112.000000
Nr 56	5.000000	200.000000
Nr 57	-37.000000	10952.000000
Nr 58	92.000000	67712.000000
Nr 59	-34.000000	9248.000000
Nr 60	-75.000000	45000.000000
Nr 61	42.000000	14112.000000
Nr 62	140.000000	156800.000000
Nr 63	-109.000000	95048.000000
Nr 64	150.000000	180000.000000
Nr 65	-108.000000	93312.000000
Nr 66	86.000000	59168.000000
Nr 67	143.000000	163592.000000
Nr 68	-139.000000	154568.000000
Nr 69	-29.000000	6728.000000
Nr 70	73.000000	42632.000000
Nr 71	22.000000	3872.000000
Nr 72	-126.000000	127008.000000
Nr 73	-189.000000	285768.000000
Nr 74	-46.000000	16928.000000
Nr 75	128.000000	131072.000000
Nr 76	-7.000000	392.000000
Nr 77	84.000000	56448.000000
Nr 78	-15.000000	1800.000000
Nr 79	-22.000000	3872.000000
Nr 80	-63.000000	31752.000000
