Nr 1	76.000000	46208.000000
Nr 3	55.000000	24200.000000
Nr 6	94.000000	70688.000000
Nr 8	68.000000	36992.000000
Nr 9	27.000000	5832.000000
Nr 10	173.000000	239432.000000
Nr 12	52.000000	21632.000000
Nr 13	82.000000	53792.000000
Nr 14	107.000000	91592.000000
Nr 16	58.000000	26912.000000
Nr 20	189.000000	285768.000000
Nr 21	54.000000	23328.000000
Nr 25	4.000000	128.000000
Nr 26	19.000000	2888.000000
Nr 27	54.000000	23328.000000
Nr 28	172.000000	236672.000000
Nr 29	190.000000	288800.000000
Nr 30	90.000000	64800.000000
Nr 31	94.000000	70688.000000
Nr 32	44.000000	15488.000000
Nr 33	66.000000	34848.000000
Nr 36	91.000000	66248.000000
Nr 38	64.000000	32768.000000
Nr 39	4.000000	128.000000
Nr 40	175.000000	245000.000000
Nr 42	40.000000	12800.000000
Nr 44	153.000000	187272.000000
Nr 45	42.000000	14112.000000
Nr 47	84.000000	56448.000000
Nr 49	199.000000	316808.000000
Nr 50	37.000000	10952.000000
Nr 52	154.000000	189728.000000
Nr 54	163.000000	212552.000000
Nr 56	5.000000	200.000000
Nr 58	92.000000	67712.000000
Nr 61	42.000000	14112.000000
Nr 62	140.000000	156800.000000
Nr 64	150.000000	180000.000000
Nr 66	86.000000	59168.000000
Nr 67	143.000000	163592.000000
Nr 70	73.000000	42632.000000
Nr 71	22.000000	3872.000000
Nr 75	128.000000	131072.000000
Nr 77	84.000000	56448.000000
